classifier,option,run,f1,f5
NaiveBayes,SelfDef.,1,0.705390892,0.735219626
NaiveBayes,SelfDef.,2,0.698501456,0.723322136
NaiveBayes,SelfDef.,3,0.617256318,0.632884217
NaiveBayes,SelfDef.,4,0.706365813,0.710978537
NaiveBayes,SelfDef.,5,0.666734573,0.683549151
NaiveBayes,SelfDef.,6,0.719451513,0.750817841
NaiveBayes,SelfDef.,7,0.726465077,0.763119672
NaiveBayes,SelfDef.,8,0.639535914,0.650915843
NaiveBayes,SelfDef.,9,0.693304721,0.699428472
NaiveBayes,SelfDef.,10,0.670773467,0.686280922
NaiveBayes,SelfDef.,11,0.720446049,0.752552481
NaiveBayes,SelfDef.,12,0.670164648,0.679759118
NaiveBayes,SelfDef.,13,0.693588253,0.712444383
NaiveBayes,SelfDef.,14,0.707574486,0.728673293
NaiveBayes,SelfDef.,15,0.628656864,0.648876822
NaiveBayes,SelfDef.,16,0.707427298,0.745151774
NaiveBayes,SelfDef.,17,0.584168206,0.576384463
NaiveBayes,SelfDef.,18,0.654559132,0.659536388
NaiveBayes,SelfDef.,19,0.688848551,0.704477949
NaiveBayes,SelfDef.,20,0.668171988,0.676484983
NaiveBayes,SelfDef.,21,0.604411385,0.607823096
NaiveBayes,SelfDef.,22,0.654341015,0.651968781
NaiveBayes,SelfDef.,23,0.694151909,0.697104747
NaiveBayes,SelfDef.,24,0.659977784,0.668383417
NaiveBayes,SelfDef.,25,0.704918362,0.725831103
NaiveBayes,SelfDef.,26,0.650626657,0.689100277
NaiveBayes,SelfDef.,27,0.648308252,0.630182098
NaiveBayes,SelfDef.,28,0.712558136,0.738882358
NaiveBayes,SelfDef.,29,0.69635592,0.723078845
NaiveBayes,SelfDef.,30,0.727362401,0.748102584
NaiveBayes,SelfDef.,31,0.668954014,0.693173067
NaiveBayes,SelfDef.,32,0.720773323,0.767180422
NaiveBayes,SelfDef.,33,0.712138462,0.722678913
NaiveBayes,SelfDef.,34,0.721184254,0.724653019
NaiveBayes,SelfDef.,35,0.706302374,0.74315699
NaiveBayes,SelfDef.,36,0.707001395,0.741631554
NaiveBayes,SelfDef.,37,0.665144384,0.69445625
NaiveBayes,SelfDef.,38,0.651315568,0.683768326
NaiveBayes,SelfDef.,39,0.7059236,0.747184554
NaiveBayes,SelfDef.,40,0.713006554,0.744037298
NaiveBayes,SelfDef.,41,0.690239939,0.710912886
NaiveBayes,SelfDef.,42,0.708099035,0.725451419
NaiveBayes,SelfDef.,43,0.667913741,0.665122025
NaiveBayes,SelfDef.,44,0.628771356,0.655109074
NaiveBayes,SelfDef.,45,0.664294814,0.702151455
NaiveBayes,SelfDef.,46,0.628180563,0.627235564
NaiveBayes,SelfDef.,47,0.713093756,0.745980049
NaiveBayes,SelfDef.,48,0.681931309,0.700982399
NaiveBayes,SelfDef.,49,0.665917699,0.672043565
NaiveBayes,SelfDef.,50,0.733695652,0.774082569
NaiveBayes,'Not',1,0.713451143,0.738698984
NaiveBayes,'Not',2,0.683093862,0.713274011
NaiveBayes,'Not',3,0.572006005,0.576740419
NaiveBayes,'Not',4,0.707044653,0.712079559
NaiveBayes,'Not',5,0.658455893,0.67130815
NaiveBayes,'Not',6,0.719451513,0.750817841
NaiveBayes,'Not',7,0.739828109,0.775686281
NaiveBayes,'Not',8,0.668130564,0.679502656
NaiveBayes,'Not',9,0.664149172,0.669911855
NaiveBayes,'Not',10,0.685079021,0.700579921
NaiveBayes,'Not',11,0.718126277,0.748511393
NaiveBayes,'Not',12,0.647188136,0.660476548
NaiveBayes,'Not',13,0.686513097,0.691367956
NaiveBayes,'Not',14,0.70039604,0.716572123
NaiveBayes,'Not',15,0.63974444,0.657698322
NaiveBayes,'Not',16,0.70035825,0.732688194
NaiveBayes,'Not',17,0.596366428,0.595617373
NaiveBayes,'Not',18,0.670006345,0.6757081
NaiveBayes,'Not',19,0.672026751,0.682055169
NaiveBayes,'Not',20,0.656968168,0.663458523
NaiveBayes,'Not',21,0.604411385,0.607823096
NaiveBayes,'Not',22,0.636418626,0.631927372
NaiveBayes,'Not',23,0.702270536,0.710298938
NaiveBayes,'Not',24,0.695141556,0.719270741
NaiveBayes,'Not',25,0.704918362,0.725831103
NaiveBayes,'Not',26,0.635711924,0.669097315
NaiveBayes,'Not',27,0.632676468,0.613896645
NaiveBayes,'Not',28,0.726893233,0.753202031
NaiveBayes,'Not',29,0.705332373,0.732488962
NaiveBayes,'Not',30,0.748746544,0.774433111
NaiveBayes,'Not',31,0.692667834,0.723728987
NaiveBayes,'Not',32,0.729344949,0.771038447
NaiveBayes,'Not',33,0.672625468,0.685386713
NaiveBayes,'Not',34,0.71728083,0.72729445
NaiveBayes,'Not',35,0.705002552,0.734544869
NaiveBayes,'Not',36,0.717282057,0.748817734
NaiveBayes,'Not',37,0.674293253,0.699773118
NaiveBayes,'Not',38,0.668712505,0.703452917
NaiveBayes,'Not',39,0.697233138,0.738287285
NaiveBayes,'Not',40,0.72109627,0.747537833
NaiveBayes,'Not',41,0.689377605,0.703762399
NaiveBayes,'Not',42,0.700296736,0.722154223
NaiveBayes,'Not',43,0.684652758,0.678454875
NaiveBayes,'Not',44,0.642078294,0.667634691
NaiveBayes,'Not',45,0.658817495,0.69241592
NaiveBayes,'Not',46,0.646823303,0.648500227
NaiveBayes,'Not',47,0.72642828,0.758525699
NaiveBayes,'Not',48,0.684526394,0.699655728
NaiveBayes,'Not',49,0.643939794,0.648978071
NaiveBayes,'Not',50,0.727682927,0.763433982
